City,Total City Population *,Year,Air Pollutant,Populated Area [km2],Air Pollution Population Weighted Average [ug/m3],Premature Deaths
Warszawa,1709825,2005,PM2.5,303,22.9,1944
Warszawa,1707661,2007,PM2.5,303,20.7,1767
Warszawa,1707219,2008,PM2.5,302,24.8,2202
Warszawa,1708125,2009,PM2.5,302,23.2,2075
Warszawa,1703065,2010,PM2.5,303,29.3,2670
Warszawa,1704848,2011,PM2.5,302,27.6,2489
Warszawa,1704898,2012,PM2.5,303,27.5,2544
Warszawa,1704841,2013,PM2.5,303,24.6,2263
Warszawa,1702838,2014,PM2.5,303,25.9,2335
Warszawa,1702291,2015,PM2.5,303,25.7,2450
Warszawa,1700571,2016,PM2.5,303,23.2,2133
Warszawa,1700829,2017,PM2.5,302,23.6,2267
Warszawa,1700996,2018,PM2.5,303,23.1,2271
Warszawa,1700821,2019,PM2.5,302,20.6,1964
Warszawa,1700164,2020,PM2.5,302,18.9,2051
Warszawa,1694872,2021,PM2.5,303,21.2,2586
